Episode    500/1000000 | Mean reward (last 500): +10.80 | Win rate: 51.4% | Win rate (last 500): 51.4% | 
Episode   1000/1000000 | Mean reward (last 500): -12.95 | Win rate: 48.8% | Win rate (last 500): 46.2% | 
Episode   1500/1000000 | Mean reward (last 500): -0.68 | Win rate: 49.0% | Win rate (last 500): 49.4% | 
Episode   2000/1000000 | Mean reward (last 500): +10.93 | Win rate: 49.6% | Win rate (last 500): 51.4% | 
Episode   2500/1000000 | Mean reward (last 500): +11.20 | Win rate: 49.9% | Win rate (last 500): 51.2% | 
Episode   3000/1000000 | Mean reward (last 500): +18.23 | Win rate: 50.4% | Win rate (last 500): 52.8% | 
Episode   3500/1000000 | Mean reward (last 500): +36.14 | Win rate: 51.3% | Win rate (last 500): 57.0% | 
Episode   4000/1000000 | Mean reward (last 500): +38.35 | Win rate: 52.0% | Win rate (last 500): 56.8% | 
Episode   4500/1000000 | Mean reward (last 500): +36.84 | Win rate: 52.6% | Win rate (last 500): 57.2% | 
Episode   5000/1000000 | Mean reward (last 500): +27.25 | Win rate: 52.9% | Win rate (last 500): 55.2% | 
Episode   5500/1000000 | Mean reward (last 500): +29.39 | Win rate: 53.1% | Win rate (last 500): 55.0% | 
Episode   6000/1000000 | Mean reward (last 500): +19.03 | Win rate: 53.0% | Win rate (last 500): 53.0% | 
Episode   6500/1000000 | Mean reward (last 500): +38.19 | Win rate: 53.3% | Win rate (last 500): 56.6% | 
Episode   7000/1000000 | Mean reward (last 500): +12.26 | Win rate: 53.2% | Win rate (last 500): 51.0% | 
Episode   7500/1000000 | Mean reward (last 500): +17.70 | Win rate: 53.1% | Win rate (last 500): 52.4% | 
Episode   8000/1000000 | Mean reward (last 500): +12.26 | Win rate: 53.0% | Win rate (last 500): 51.6% | 
Episode   8500/1000000 | Mean reward (last 500): +26.38 | Win rate: 53.1% | Win rate (last 500): 54.2% | 
Episode   9000/1000000 | Mean reward (last 500): +27.00 | Win rate: 53.2% | Win rate (last 500): 54.8% | 
Episode   9500/1000000 | Mean reward (last 500): +11.41 | Win rate: 53.1% | Win rate (last 500): 50.8% | 
Episode  10000/1000000 | Mean reward (last 500): +10.22 | Win rate: 53.0% | Win rate (last 500): 51.6% | 
Episode  10500/1000000 | Mean reward (last 500): +19.90 | Win rate: 53.0% | Win rate (last 500): 52.6% | 
Episode  11000/1000000 | Mean reward (last 500): +14.66 | Win rate: 52.9% | Win rate (last 500): 51.8% | 
Episode  11500/1000000 | Mean reward (last 500): +36.43 | Win rate: 53.1% | Win rate (last 500): 56.6% | 
Episode  12000/1000000 | Mean reward (last 500): +22.84 | Win rate: 53.1% | Win rate (last 500): 54.2% | 
Episode  12500/1000000 | Mean reward (last 500): +8.10 | Win rate: 53.0% | Win rate (last 500): 50.4% | 
Episode  13000/1000000 | Mean reward (last 500): +7.40 | Win rate: 52.9% | Win rate (last 500): 50.0% | 
Episode  13500/1000000 | Mean reward (last 500): +17.82 | Win rate: 52.9% | Win rate (last 500): 52.8% | 
Episode  14000/1000000 | Mean reward (last 500): +41.14 | Win rate: 53.0% | Win rate (last 500): 57.4% | 
Episode  14500/1000000 | Mean reward (last 500): +22.62 | Win rate: 53.1% | Win rate (last 500): 53.4% | 
Episode  15000/1000000 | Mean reward (last 500): +18.88 | Win rate: 53.1% | Win rate (last 500): 52.8% | 
Episode  15500/1000000 | Mean reward (last 500): +28.37 | Win rate: 53.1% | Win rate (last 500): 54.4% | 
Episode  16000/1000000 | Mean reward (last 500): +25.72 | Win rate: 53.1% | Win rate (last 500): 54.2% | 
Episode  16500/1000000 | Mean reward (last 500): +15.18 | Win rate: 53.1% | Win rate (last 500): 51.0% | 
Episode  17000/1000000 | Mean reward (last 500): +39.02 | Win rate: 53.2% | Win rate (last 500): 57.4% | 
Episode  17500/1000000 | Mean reward (last 500): +27.21 | Win rate: 53.2% | Win rate (last 500): 54.4% | 
Episode  18000/1000000 | Mean reward (last 500): +10.35 | Win rate: 53.2% | Win rate (last 500): 51.2% | 
Episode  18500/1000000 | Mean reward (last 500): +25.64 | Win rate: 53.2% | Win rate (last 500): 54.6% | 
Episode  19000/1000000 | Mean reward (last 500): +30.93 | Win rate: 53.3% | Win rate (last 500): 55.6% | 
Episode  19500/1000000 | Mean reward (last 500): +22.01 | Win rate: 53.3% | Win rate (last 500): 53.8% | 
Episode  20000/1000000 | Mean reward (last 500): +19.45 | Win rate: 53.3% | Win rate (last 500): 53.8% | 
Episode  20500/1000000 | Mean reward (last 500): +15.50 | Win rate: 53.3% | Win rate (last 500): 52.0% | 
Episode  21000/1000000 | Mean reward (last 500): +11.89 | Win rate: 53.2% | Win rate (last 500): 50.8% | 
Episode  21500/1000000 | Mean reward (last 500): +6.75 | Win rate: 53.1% | Win rate (last 500): 50.0% | 
Episode  22000/1000000 | Mean reward (last 500): +19.93 | Win rate: 53.1% | Win rate (last 500): 53.2% | 
Episode  22500/1000000 | Mean reward (last 500): +24.37 | Win rate: 53.2% | Win rate (last 500): 54.0% | 
Episode  23000/1000000 | Mean reward (last 500): +15.90 | Win rate: 53.1% | Win rate (last 500): 52.2% | 
Episode  23500/1000000 | Mean reward (last 500): +36.68 | Win rate: 53.2% | Win rate (last 500): 56.4% | 
Episode  24000/1000000 | Mean reward (last 500): +24.39 | Win rate: 53.2% | Win rate (last 500): 54.4% | 
Episode  24500/1000000 | Mean reward (last 500): +21.23 | Win rate: 53.2% | Win rate (last 500): 53.4% | 
Episode  25000/1000000 | Mean reward (last 500): +29.77 | Win rate: 53.3% | Win rate (last 500): 55.2% | 
Episode  25500/1000000 | Mean reward (last 500): +21.79 | Win rate: 53.3% | Win rate (last 500): 53.4% | 
Episode  26000/1000000 | Mean reward (last 500): +21.64 | Win rate: 53.3% | Win rate (last 500): 53.6% | 
Episode  26500/1000000 | Mean reward (last 500): +33.07 | Win rate: 53.3% | Win rate (last 500): 55.4% | 
Episode  27000/1000000 | Mean reward (last 500): +30.84 | Win rate: 53.4% | Win rate (last 500): 55.2% | 
Episode  27500/1000000 | Mean reward (last 500): +32.00 | Win rate: 53.4% | Win rate (last 500): 56.2% | 
Episode  28000/1000000 | Mean reward (last 500): +28.64 | Win rate: 53.4% | Win rate (last 500): 55.0% | 
Episode  28500/1000000 | Mean reward (last 500): +37.28 | Win rate: 53.5% | Win rate (last 500): 56.6% | 
Episode  29000/1000000 | Mean reward (last 500): +25.46 | Win rate: 53.5% | Win rate (last 500): 54.2% | 
Episode  29500/1000000 | Mean reward (last 500): +32.74 | Win rate: 53.5% | Win rate (last 500): 55.8% | 
Episode  30000/1000000 | Mean reward (last 500): +25.71 | Win rate: 53.6% | Win rate (last 500): 54.4% | 
Episode  30500/1000000 | Mean reward (last 500): +28.70 | Win rate: 53.6% | Win rate (last 500): 55.0% | 
Episode  31000/1000000 | Mean reward (last 500): +24.18 | Win rate: 53.6% | Win rate (last 500): 54.2% | 
Episode  31500/1000000 | Mean reward (last 500): +19.81 | Win rate: 53.6% | Win rate (last 500): 52.8% | 
Episode  32000/1000000 | Mean reward (last 500): +26.88 | Win rate: 53.6% | Win rate (last 500): 54.6% | 
Episode  32500/1000000 | Mean reward (last 500): +35.43 | Win rate: 53.6% | Win rate (last 500): 56.2% | 
Episode  33000/1000000 | Mean reward (last 500): +24.62 | Win rate: 53.6% | Win rate (last 500): 53.8% | 
Episode  33500/1000000 | Mean reward (last 500): +22.53 | Win rate: 53.6% | Win rate (last 500): 53.4% | 
Episode  34000/1000000 | Mean reward (last 500): +30.52 | Win rate: 53.7% | Win rate (last 500): 55.4% | 
Episode  34500/1000000 | Mean reward (last 500): +20.92 | Win rate: 53.7% | Win rate (last 500): 53.2% | 
Episode  35000/1000000 | Mean reward (last 500): +28.62 | Win rate: 53.7% | Win rate (last 500): 53.8% | 
Episode  35500/1000000 | Mean reward (last 500): +38.00 | Win rate: 53.7% | Win rate (last 500): 56.6% | 
Episode  36000/1000000 | Mean reward (last 500): +40.25 | Win rate: 53.8% | Win rate (last 500): 57.6% | 
Episode  36500/1000000 | Mean reward (last 500): +38.69 | Win rate: 53.8% | Win rate (last 500): 56.8% | 
Episode  37000/1000000 | Mean reward (last 500): +30.58 | Win rate: 53.8% | Win rate (last 500): 54.4% | 
Episode  37500/1000000 | Mean reward (last 500): +29.66 | Win rate: 53.8% | Win rate (last 500): 55.0% | 
Episode  38000/1000000 | Mean reward (last 500): +42.70 | Win rate: 53.9% | Win rate (last 500): 57.6% | 
Episode  38500/1000000 | Mean reward (last 500): +8.88 | Win rate: 53.8% | Win rate (last 500): 50.6% | 
Episode  39000/1000000 | Mean reward (last 500): +38.13 | Win rate: 53.9% | Win rate (last 500): 56.8% | 
Episode  39500/1000000 | Mean reward (last 500): +34.60 | Win rate: 53.9% | Win rate (last 500): 56.8% | 
Episode  40000/1000000 | Mean reward (last 500): +35.42 | Win rate: 53.9% | Win rate (last 500): 56.4% | 
Episode  40500/1000000 | Mean reward (last 500): +30.04 | Win rate: 53.9% | Win rate (last 500): 55.4% | 
Episode  41000/1000000 | Mean reward (last 500): +30.06 | Win rate: 54.0% | Win rate (last 500): 54.4% | 
