Episode    500/500000 | Mean reward (last 500): -0.05 | Win rate: 49.0% | Win rate (last 500): 49.0% | Policy loss: -0.0040 | Value loss: 85.0679 | Entropy: 1.0178
Episode   1000/500000 | Mean reward (last 500): -1.12 | Win rate: 48.2% | Win rate (last 500): 47.4% | Policy loss: -0.0062 | Value loss: 85.3728 | Entropy: 0.9608
Episode   1500/500000 | Mean reward (last 500): -0.48 | Win rate: 48.3% | Win rate (last 500): 48.6% | Policy loss: -0.0065 | Value loss: 86.8811 | Entropy: 0.9562
Episode   2000/500000 | Mean reward (last 500): -0.15 | Win rate: 48.5% | Win rate (last 500): 49.2% | Policy loss: -0.0109 | Value loss: 89.9267 | Entropy: 0.9283
Episode   2500/500000 | Mean reward (last 500): +0.53 | Win rate: 48.8% | Win rate (last 500): 50.0% | Policy loss: -0.0115 | Value loss: 89.0084 | Entropy: 0.9178
Episode   3000/500000 | Mean reward (last 500): -0.60 | Win rate: 48.7% | Win rate (last 500): 48.0% | Policy loss: -0.0119 | Value loss: 89.5775 | Entropy: 0.9115
Episode   3500/500000 | Mean reward (last 500): +0.91 | Win rate: 49.1% | Win rate (last 500): 51.4% | Policy loss: -0.0141 | Value loss: 87.7415 | Entropy: 0.9010
Episode   4000/500000 | Mean reward (last 500): +1.30 | Win rate: 49.4% | Win rate (last 500): 51.8% | Policy loss: -0.0177 | Value loss: 87.9020 | Entropy: 0.8751
Episode   4500/500000 | Mean reward (last 500): +1.02 | Win rate: 49.6% | Win rate (last 500): 51.4% | Policy loss: -0.0144 | Value loss: 87.2840 | Entropy: 0.8299
Episode   5000/500000 | Mean reward (last 500): +1.87 | Win rate: 50.0% | Win rate (last 500): 53.4% | Policy loss: -0.0183 | Value loss: 90.1303 | Entropy: 0.7767
Episode   5500/500000 | Mean reward (last 500): +1.07 | Win rate: 50.2% | Win rate (last 500): 51.8% | Policy loss: -0.0184 | Value loss: 90.7669 | Entropy: 0.7720
Episode   6000/500000 | Mean reward (last 500): +1.60 | Win rate: 50.4% | Win rate (last 500): 52.4% | Policy loss: -0.0141 | Value loss: 90.5506 | Entropy: 0.7973
Episode   6500/500000 | Mean reward (last 500): +2.13 | Win rate: 50.6% | Win rate (last 500): 53.6% | Policy loss: -0.0173 | Value loss: 91.4401 | Entropy: 0.8016
Episode   7000/500000 | Mean reward (last 500): +2.61 | Win rate: 50.9% | Win rate (last 500): 54.6% | Policy loss: -0.0161 | Value loss: 83.2396 | Entropy: 0.7981
Episode   7500/500000 | Mean reward (last 500): +2.12 | Win rate: 51.1% | Win rate (last 500): 53.8% | Policy loss: -0.0194 | Value loss: 88.9260 | Entropy: 0.7649
Episode   8000/500000 | Mean reward (last 500): +2.54 | Win rate: 51.3% | Win rate (last 500): 54.6% | Policy loss: -0.0194 | Value loss: 84.1468 | Entropy: 0.7395
Episode   8500/500000 | Mean reward (last 500): +4.10 | Win rate: 51.7% | Win rate (last 500): 58.2% | Policy loss: -0.0134 | Value loss: 91.6887 | Entropy: 0.7286
Episode   9000/500000 | Mean reward (last 500): +2.81 | Win rate: 51.9% | Win rate (last 500): 55.0% | Policy loss: -0.0171 | Value loss: 90.3606 | Entropy: 0.7147
Episode   9500/500000 | Mean reward (last 500): +2.87 | Win rate: 52.1% | Win rate (last 500): 54.8% | Policy loss: -0.0219 | Value loss: 82.5092 | Entropy: 0.6974
Episode  10000/500000 | Mean reward (last 500): +3.08 | Win rate: 52.2% | Win rate (last 500): 55.6% | Policy loss: -0.0182 | Value loss: 87.9674 | Entropy: 0.7076
Episode  10500/500000 | Mean reward (last 500): +6.17 | Win rate: 52.7% | Win rate (last 500): 61.6% | Policy loss: -0.0195 | Value loss: 80.9442 | Entropy: 0.6877
Episode  11000/500000 | Mean reward (last 500): +3.22 | Win rate: 52.8% | Win rate (last 500): 56.0% | Policy loss: -0.0125 | Value loss: 90.8612 | Entropy: 0.6346
Episode  11500/500000 | Mean reward (last 500): +3.93 | Win rate: 53.0% | Win rate (last 500): 57.0% | Policy loss: -0.0158 | Value loss: 83.5460 | Entropy: 0.6028
Episode  12000/500000 | Mean reward (last 500): +4.57 | Win rate: 53.2% | Win rate (last 500): 58.2% | Policy loss: -0.0184 | Value loss: 81.9093 | Entropy: 0.6310
Episode  12500/500000 | Mean reward (last 500): +3.68 | Win rate: 53.3% | Win rate (last 500): 56.2% | Policy loss: -0.0152 | Value loss: 90.7509 | Entropy: 0.6489
Episode  13000/500000 | Mean reward (last 500): +2.53 | Win rate: 53.4% | Win rate (last 500): 54.4% | Policy loss: -0.0187 | Value loss: 91.2096 | Entropy: 0.6850
Episode  13500/500000 | Mean reward (last 500): +4.71 | Win rate: 53.6% | Win rate (last 500): 58.6% | Policy loss: -0.0165 | Value loss: 82.1711 | Entropy: 0.6754
Episode  14000/500000 | Mean reward (last 500): +3.65 | Win rate: 53.7% | Win rate (last 500): 56.4% | Policy loss: -0.0194 | Value loss: 86.4265 | Entropy: 0.6713
Episode  14500/500000 | Mean reward (last 500): +5.46 | Win rate: 53.9% | Win rate (last 500): 60.6% | Policy loss: -0.0162 | Value loss: 84.5666 | Entropy: 0.6733
Episode  15000/500000 | Mean reward (last 500): +5.80 | Win rate: 54.2% | Win rate (last 500): 61.4% | Policy loss: -0.0183 | Value loss: 86.9345 | Entropy: 0.6889
